	Turtle (s)		Matlab (s)	Ratio		CP MJ (s)	Ratio		C++ JSON IO (s)	Ratio		JSON Lab (s)	Ratio
'1.json'	6.4973		549.8614	84.63		31.9366	4.92		15.4534	2.38		3600	554.07
'XJ30_NaCl500mM4uL6h_10m45x10s40s_Ea.json'	0.791		5.5805	7.05		11.4801	14.51		3.2878	4.16		47.8537	60.5
'apache_builds.json'	0.0035		0.0158	4.51		0.0117	3.34		0.0071	2.01		0.5402	153.95
'apache_builds.min.json'	0.002		0.0143	7.25		0.0106	5.41		0.0069	3.48		0.5104	259.25
'big.json'	0.2605		0.7928	3.04		0.6323	2.43		0.4644	1.78		170.6217	654.86
'canada.json'	0.0109		0.2372	21.74		0.3986	36.54		0.213	19.52		6.414	587.91
'citm_catalog.json'	0.0249		0.1547	6.22		0.141	5.67		0.0681	2.74		11.2693	452.86
'citylots.json'	3.8562		22.3899	5.81		34.1529	8.86		15.077	3.91		3600	933.56
'github_events.json'	0.0016		0.0058	3.51		0.0036	2.18		0.0034	2.06		0.2473	150.06
'github_events.min.json'	0.0016		0.0057	3.48		0.0035	2.15		0.0029	1.77		0.2328	141.99
'instruments.json'	0.0059		0.0281	4.79		0.0215	3.67		0.0145	2.46		1.3805	235.12
'instruments.min.json'	0.006		0.0274	4.56		0.0214	3.56		0.0127	2.11		1.2502	208.1
'large-dict.json'	0.9506		5.1893	5.46		2.6241	2.76		2.3156	2.44		661.6566	696.03
'medium-dict.json'	0.2846		8.0438	28.26		0.7569	2.66		0.6686	2.35		53.0282	186.3
'mesh.json'	0.0058		0.1298	22.26		0.1656	28.4		0.0571	9.8		0.28	48
'mesh.min.json'	0.0024		0.1018	42.02		0.1413	58.31		0.0313	12.9		0.0519	21.42
'small-dict.json'	0.0271		0.8105	29.92		0.0703	2.6		0.0623	2.3		2.901	107.08
'svg_menu.json'	0.0002		0.0006	3.06		0.0004	2.27		0.0002	1.03		0.0143	78.45
'svg_menu.min.json'	0.0002		0.0005	3.02		0.0004	2.35		0.0002	1.13		0.0149	83.71
'twitter.json'	0.018		0.0591	3.29		0.0508	2.83		0.0396	2.2		2.4172	134.48
'twitter.min.json'	0.0182		0.06	3.31		0.053	2.92		0.0396	2.18		2.4769	136.36
'update-center.json'	0.0208		0.1086	5.21		0.0628	3.02		0.0543	2.61		5.8128	279.17
'update-center.min.json'	0.0205		0.1025	5.01		0.0612	2.99		0.0509	2.49		5.5836	272.93
'utf8_01.json'	0.0001		0.0003	2.88		0.0002	2.35		0.0001	0.65		0.007	74.99
'wcon_testfile_new.json'	0.2325		1.8944	8.15		3.93	16.9		1.8109	7.79		84.0465	361.46
